dataset,scope,auc,ap,macro_f1,weighted_f1,loc_map05,extra
UCF-Crime (primary),train/test in-domain,0.9273809523809523,0.8674817368694084,0.30286008959844085,0.7373899661716762,0.012412121212121213,"mAP@0.3=0.033624, mAP@0.7=0.011200"
XD-Violence (Step11),zero-shot transfer,0.8357257525083612,0.8846832500514824,0.3608417110191208,0.49423954814168586,nan,4-class overlap F1 (fighting/shooting/explosion/abuse)
RWF-2000 (Step12),fight validation (zero-shot),0.8622500000000001,0.8188352467320219,0.24561403508771928,nan,nan,"fight precision=1.000000, recall=0.140000, F1=0.245614"
ShanghaiTech (Step13),binary robustness (zero-shot),0.37052785923753667,0.21651579199163104,nan,nan,nan,binary anomaly only
